INFO: loading config from /etc/shadowsocks.json
2020-07-03 08:30:08 INFO     starting server at 0.0.0.0:8888
2020-07-03 08:30:21 INFO     connecting www.google.com:443
2020-07-03 08:30:21 INFO     connecting id.google.com:443
2020-07-03 08:30:21 INFO     connecting ssl.gstatic.com:443
2020-07-03 08:30:21 INFO     connecting www.gstatic.com:443
2020-07-03 08:30:21 INFO     connecting apis.google.com:443
2020-07-03 08:33:11 INFO     connecting clientservices.googleapis.com:443
2020-07-03 08:33:11 INFO     connecting accounts.google.com:443
2020-07-03 08:33:13 INFO     connecting clients2.google.com:443
2020-07-03 08:33:19 INFO     connecting ssl.gstatic.com:443
2020-07-03 08:33:19 INFO     connecting ssl.gstatic.com:443
2020-07-03 08:33:28 INFO     connecting clients1.google.com:443
2020-07-03 08:34:35 INFO     connecting safebrowsing.googleapis.com:443
2020-07-03 08:34:40 INFO     connecting pagead2.googlesyndication.com:80
2020-07-03 08:34:40 INFO     connecting adservice.google.com:443
2020-07-03 08:36:47 WARNING  unsupported addrtype 8, maybe wrong password
2020-07-03 08:36:47 ERROR    can not parse header
2020-07-03 08:39:09 INFO     connecting update.googleapis.com:443
2020-07-03 08:43:02 INFO     connecting clients4.google.com:443
2020-07-03 08:43:08 WARNING  unsupported addrtype 177, maybe wrong password
2020-07-03 08:43:08 ERROR    can not parse header
2020-07-03 08:43:08 WARNING  unsupported addrtype 76, maybe wrong password
2020-07-03 08:43:08 ERROR    can not parse header
2020-07-03 08:43:08 WARNING  unsupported addrtype 43, maybe wrong password
2020-07-03 08:43:08 ERROR    can not parse header
2020-07-03 08:45:42 INFO     connecting clientservices.googleapis.com:443
2020-07-03 08:45:42 INFO     connecting accounts.google.com:443
2020-07-03 08:45:42 INFO     connecting clients2.google.com:443
2020-07-03 08:45:51 INFO     connecting ssl.gstatic.com:443
2020-07-03 08:47:02 INFO     connecting safebrowsing.googleapis.com:443
2020-07-03 08:47:04 INFO     connecting clients1.google.com:443
2020-07-03 08:51:41 INFO     connecting update.googleapis.com:443
2020-07-03 08:55:54 INFO     connecting clients1.google.com:443
2020-07-03 18:05:21 WARNING  unsupported addrtype 9, maybe wrong password
2020-07-03 18:05:21 ERROR    can not parse header
2020-07-03 21:29:28 WARNING  unsupported addrtype 245, maybe wrong password
2020-07-03 21:29:28 ERROR    can not parse header
2020-07-03 23:33:03 WARNING  unsupported addrtype 94, maybe wrong password
2020-07-03 23:33:03 ERROR    can not parse header
2020-07-04 04:47:09 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-04 04:47:09 ERROR    can not parse header
2020-07-04 04:47:10 WARNING  unsupported addrtype 180, maybe wrong password
2020-07-04 04:47:10 ERROR    can not parse header
2020-07-04 06:58:39 WARNING  unsupported addrtype 155, maybe wrong password
2020-07-04 06:58:39 ERROR    can not parse header
2020-07-04 06:58:39 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-04 06:58:39 ERROR    can not parse header
2020-07-04 07:09:17 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-04 07:09:17 ERROR    can not parse header
2020-07-04 07:09:17 WARNING  unsupported addrtype 190, maybe wrong password
2020-07-04 07:09:17 ERROR    can not parse header
2020-07-04 07:09:17 WARNING  unsupported addrtype 170, maybe wrong password
2020-07-04 07:09:17 ERROR    can not parse header
2020-07-04 14:42:31 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-04 14:42:31 ERROR    can not parse header
2020-07-04 14:42:32 WARNING  unsupported addrtype 217, maybe wrong password
2020-07-04 14:42:32 ERROR    can not parse header
2020-07-04 16:15:02 WARNING  unsupported addrtype 245, maybe wrong password
2020-07-04 16:15:02 ERROR    can not parse header
2020-07-05 01:41:09 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-05 01:41:09 ERROR    can not parse header
2020-07-05 01:41:09 WARNING  unsupported addrtype 190, maybe wrong password
2020-07-05 01:41:09 ERROR    can not parse header
2020-07-05 01:41:09 WARNING  unsupported addrtype 170, maybe wrong password
2020-07-05 01:41:09 ERROR    can not parse header
2020-07-05 17:30:29 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-05 17:30:29 ERROR    can not parse header
2020-07-05 17:53:07 WARNING  unsupported addrtype 240, maybe wrong password
2020-07-05 17:53:07 ERROR    can not parse header
2020-07-05 17:53:07 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-05 17:53:07 ERROR    can not parse header
2020-07-06 04:09:39 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-06 04:09:39 ERROR    can not parse header
2020-07-06 06:54:02 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-06 06:54:02 ERROR    can not parse header
2020-07-06 08:23:18 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-06 08:23:18 ERROR    can not parse header
2020-07-06 12:20:58 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-06 12:20:58 ERROR    can not parse header
2020-07-06 20:45:08 WARNING  unsupported addrtype 9, maybe wrong password
2020-07-06 20:45:08 ERROR    can not parse header
2020-07-07 02:26:02 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-07 02:26:02 ERROR    can not parse header
2020-07-07 08:11:37 WARNING  unsupported addrtype 253, maybe wrong password
2020-07-07 08:11:37 ERROR    can not parse header
2020-07-08 01:09:32 WARNING  unsupported addrtype 94, maybe wrong password
2020-07-08 01:09:32 ERROR    can not parse header
2020-07-08 02:18:30 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-08 02:18:30 ERROR    can not parse header
2020-07-08 02:18:30 WARNING  unsupported addrtype 190, maybe wrong password
2020-07-08 02:18:30 ERROR    can not parse header
2020-07-08 02:18:30 WARNING  unsupported addrtype 170, maybe wrong password
2020-07-08 02:18:30 ERROR    can not parse header
2020-07-08 04:46:50 WARNING  unsupported addrtype 87, maybe wrong password
2020-07-08 04:46:50 ERROR    can not parse header
